Shortest Distance to Surfaces Surfaces=Surfaces 1,Intensity Sum Ch=2 Img=2,Channel,Image,ID,Surpass Object,Surpass Object Data ID
-4.21,1.25e6,2,Image 2,414,All AuNP,200001
37.9,8.21e4,2,Image 2,415,All AuNP,200001
6.53,5.02e4,2,Image 2,416,All AuNP,200001
13.5,7.07e4,2,Image 2,417,All AuNP,200001
37.3,1.55e5,2,Image 2,418,All AuNP,200001
47,1.12e5,2,Image 2,419,All AuNP,200001
-10.2,7.95e4,2,Image 2,420,All AuNP,200001
10.6,1.25e5,2,Image 2,421,All AuNP,200001
18.8,7.32e4,2,Image 2,422,All AuNP,200001
-11.8,3.42e5,2,Image 2,423,All AuNP,200001
36.4,1.96e5,2,Image 2,424,All AuNP,200001
22.9,1.28e5,2,Image 2,425,All AuNP,200001
8.64,2.02e5,2,Image 2,426,All AuNP,200001
29.5,1.44e5,2,Image 2,427,All AuNP,200001
11.7,1.26e5,2,Image 2,428,All AuNP,200001
26.4,1.78e5,2,Image 2,429,All AuNP,200001
55,7.71e4,2,Image 2,430,All AuNP,200001
25.4,2.23e5,2,Image 2,431,All AuNP,200001
-4.3,1.45e5,2,Image 2,432,All AuNP,200001
-12.4,8.76e4,2,Image 2,433,All AuNP,200001
-13.1,6.10e4,2,Image 2,434,All AuNP,200001
13.6,9.68e4,2,Image 2,435,All AuNP,200001
8.53,1.33e5,2,Image 2,436,All AuNP,200001
-9.57,5.04e4,2,Image 2,437,All AuNP,200001
47.7,7.10e4,2,Image 2,438,All AuNP,200001
43.5,1.14e5,2,Image 2,439,All AuNP,200001
-6.41,1.93e5,2,Image 2,440,All AuNP,200001
20,1.47e5,2,Image 2,441,All AuNP,200001
-5.67,6.50e4,2,Image 2,442,All AuNP,200001
-14.2,5.39e4,2,Image 2,443,All AuNP,200001
-6.89,2.79e5,2,Image 2,444,All AuNP,200001
25.7,3.43e4,2,Image 2,445,All AuNP,200001
11,9.87e4,2,Image 2,446,All AuNP,200001
15.2,4.23e4,2,Image 2,447,All AuNP,200001
22.7,7.85e4,2,Image 2,448,All AuNP,200001
-5.28,7.06e4,2,Image 2,449,All AuNP,200001
-2.87,3.80e4,2,Image 2,450,All AuNP,200001
21.4,2.25e5,2,Image 2,451,All AuNP,200001
4.83,6.80e4,2,Image 2,452,All AuNP,200001
-8.89,2.82e5,2,Image 2,453,All AuNP,200001
8.17,6.27e4,2,Image 2,454,All AuNP,200001
5.01,3.98e4,2,Image 2,455,All AuNP,200001
-10.2,7.84e4,2,Image 2,456,All AuNP,200001
-0.155,7.54e4,2,Image 2,457,All AuNP,200001
34.1,5.33e4,2,Image 2,458,All AuNP,200001
51.5,5.38e4,2,Image 2,459,All AuNP,200001
-9.19,4.25e4,2,Image 2,460,All AuNP,200001
-15.1,1.30e5,2,Image 2,461,All AuNP,200001
-13.8,6.74e4,2,Image 2,462,All AuNP,200001
-4.43,5.14e4,2,Image 2,463,All AuNP,200001
-18.6,4.34e4,2,Image 2,464,All AuNP,200001
-17.2,8.06e4,2,Image 2,465,All AuNP,200001
-20.1,4.77e4,2,Image 2,466,All AuNP,200001
-11.4,4.09e4,2,Image 2,467,All AuNP,200001
-15.6,3.81e5,2,Image 2,468,All AuNP,200001
-23.9,5.34e4,2,Image 2,469,All AuNP,200001
-27.7,7.91e4,2,Image 2,470,All AuNP,200001
-8.75,7.20e4,2,Image 2,471,All AuNP,200001
-27.3,8.12e4,2,Image 2,472,All AuNP,200001
-24.1,1.14e5,2,Image 2,473,All AuNP,200001
-5.11,6.67e4,2,Image 2,474,All AuNP,200001
-3.9,1.04e5,2,Image 2,475,All AuNP,200001
-13.3,8.39e4,2,Image 2,476,All AuNP,200001
-4.92,3.59e4,2,Image 2,477,All AuNP,200001
